id,name,difficulty,entrances,exits,url,lvltype
Level 0,The Lobby,1,"The Frontrooms","Level 1",https://backrooms-freewriting.fandom.com/wiki/Level_0,normal
Level 0.-71,Cold Forest,var,"Level 4","Level 33",https://backrooms-freewriting.fandom.com/wiki/Level_0.-71,sub
Level 0.-0,Untextured Lobby,10e,"Level -0;Level 0.null;Level 0‰",".",https://backrooms-freewriting.fandom.com/wiki/Level_0.-0:_"_Untextured_Lobby",sub
Level 0.0,Meaning,Ω,"Level 0","Level 0;The Hub 2;Level ahuahhajajazbnjxjxj",https://backrooms-freewriting.fandom.com/wiki/Level_0.0,sub
Level 0.0.0,?,var,"Level 0.0.0","Level -?;The Frontrooms",https://backrooms-freewriting.fandom.com/wiki/Level_0.0.0,sub
Level 0.0.0.0,Level 0.0.0.0,1,"Level 0;The Hub","Level 0;Level Fun;Level 1800",https://backrooms-freewriting.fandom.com/wiki/Level_0.0.0.0,sub
Level 0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0,The Middle Of The Back,0,"Level 0;Level -0","Level -0;The Middlerooms;Level 0",https://backrooms-freewriting.fandom.com/wiki/Level_0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0,sub
Level 0.0.0.0.0.5,sdad,0,".",".",https://backrooms-freewriting.fandom.com/wiki/Level_0.0.0.0.0.5,sub
Level 0.0.0.1,.,deadzone,"Level 0.0.0;Level 999999111","The Frontrooms",https://backrooms-freewriting.fandom.com/wiki/Level_0.0.0.1,sub
Level 0.0.01,The Exit?,6,".",".",https://backrooms-freewriting.fandom.com/wiki/Level_0.0.01,sub
Level 0.0.1,The DEMO,3,"Level 0;Level -700","Level Ͻϸϱ;Level 0.0.2;The Void;Level 404",https://backrooms-freewriting.fandom.com/wiki/Level_0.0.1,sub
Level 0.0.12323,Islands of Run,!,"Level 0.0.8;Level 0.0.5","Level 999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999",https://backrooms-freewriting.fandom.com/wiki/Level_0.0.12323,sub
Level 0.0.2,The Glitchedrooms 2.0,ξ,"Level 0.0.1","Level 0.0.1;Level 0;The Void",https://backrooms-freewriting.fandom.com/wiki/Level_0.0.2,sub
Level 0.0.8,Flooded Flood,var,".","Level 46;Level 4;Level 3999",https://backrooms-freewriting.fandom.com/wiki/Level_0.0.8:_"Flooded_Flood",sub
Level 0.0.9,Identity Registration,2,".","Level 0.0",https://backrooms-freewriting.fandom.com/wiki/Level_0.0.9,sub
Level 0.00,The deadzone,deadzone,"Level 0",".",https://backrooms-freewriting.fandom.com/wiki/Level_0.00,sub
Level 0.00.00,The Unknown??,traumatellix,".",".",https://backrooms-freewriting.fandom.com/wiki/Level_0.00.00,sub
Level 0.0000000000000000000000000,nibba What?,deadzone,"Level 0",".",https://backrooms-freewriting.fandom.com/wiki/Level_0.0000000000000000000000000,sub
Level Infinitesimal,Level Infinitesimal,?,"Level 0",".",https://backrooms-freewriting.fandom.com/wiki/Level_Infinitesimal,sub
Level 0.000000000000000000004,`~#@-+=_,-2,"Level 0;Level 300","Level 10;Level 14;Level 999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999",https://backrooms-freewriting.fandom.com/wiki/Level_0.000000000000000000004,sub
Level 0.00001,The Static Abyss,4,"Level 0.0001;Level 394","Level 0;Level 1",https://backrooms-freewriting.fandom.com/wiki/Level_0.00001,sub
